gene	m
A1CF	1
A2M	6
A2ML1	23
A3GALT2	1
A4GALT	38
AAAS	87
AACS	2
AADAC	7
AADACL2	1
AADAT	1
AAGAB	47
AAMP	1
AANAT	3
AAR2	1
AARS	28
AARS2	47
AASDH	3
AASDHPPT	1
AASS	15
AATF	2
ABAT	13
abattv3	2
ABCA1	268
ABCA10	1
ABCA12	158
ABCA13	18
ABCA2	11
ABCA3	295
ABCA4	1467
ABCA5	5
ABCA6	1
ABCA7	167
ABCA8	2
ABCB1	18
ABCB11	344
ABCB4	258
ABCB5	3
ABCB6	62
ABCB7	9
ABCB8	2
ABCB9	1
ABCC1	10
ABCC11	7
ABCC12	3
ABCC2	74
ABCC3	10
ABCC4	14
ABCC5	2
ABCC6	391
ABCC8	712
abcc8tv3	2
ABCC9	53
ABCD1	688
ABCD3	7
ABCD4	9
ABCE1	2
ABCG1	9
ABCG2	99
ABCG4	1
ABCG5	57
ABCG8	64
ABHD12	23
ABHD14B	1
ABHD15	2
ABHD17A	1
ABHD5	42
ABHD6	1
ABI1	1
ABI2	4
ABI3	1
ABI3BP	2
ABL1	7
ABL2	4
ABLIM1	2
ABO	163
ABR	2
ABRAXAS1	10
ABRAXAS2	2
ABTB1	2
AC145625.1	1
ACAA1	1
ACACA	8
ACACB	13
ACAD10	3
ACAD8	33
ACAD9	65
ACADL	2
ACADM	183
ACADS	88
ACADSB	24
ACADVL	332
ACAN	67
ACAP2	1
ACAP3	6
ACAT1	122
ACBD3	1
ACBD5	4
ACBD6	2
ACCS	1
ACCSL	1
ACD	13
ACE	55
ACE2	2
ACER3	1
acetv3	1
ACHE	6
ACKR1	11
ACKR2	3
ACKR3	2
ACLY	4
ACMSD	4
ACO1	1
ACO2	33
ACOT1	1
ACOT4	1
ACOT6	1
ACOT7	1
ACOX1	27
ACOX2	6
ACP2	3
ACP4	7
ACP5	30
ACP6	3
ACP7	1
ACRBP	1
ACSF2	1
ACSF3	29
ACSL1	2
ACSL4	8
ACSL5	3
ACSL6	1
ACSM2B	1
ACSM3	5
ACSM5	1
ACSS2	1
ACTA1	224
ACTA2	88
ACTB	70
ACTBL2	1
ACTC1	74
ACTG1	54
ACTG2	23
actg2e4	1
ACTL6A	3
ACTL6B	21
ACTL7B	1
ACTN1	30
ACTN2	53
actn2tv3	1
ACTN3	3
ACTN4	36
ACTR3B	1
ACTR3C	1
ACTR6	1
ACTRT1	6
ACTRT3	2
ACVR1	23
ACVR1B	2
ACVR1C	4
ACVR2B	7
ACVRL1	456
ACY1	15
ACY3	2
ADA	100
ADA2	79
ADAM10	17
ADAM12	1
ADAM17	9
ADAM18	3
ADAM19	2
ADAM20	1
ADAM22	4
ADAM23	1
ADAM28	1
ADAM29	1
ADAM33	4
ADAM3A	1
ADAM5	1
ADAM7	1
ADAM9	11
ADAMTS1	4
ADAMTS10	15
ADAMTS13	221
ADAMTS15	1
ADAMTS16	3
ADAMTS17	9
ADAMTS18	17
ADAMTS19	2
ADAMTS2	12
ADAMTS3	5
ADAMTS5	1
ADAMTS6	6
ADAMTS7	1
ADAMTS9	3
ADAMTSL1	5
ADAMTSL2	33
ADAMTSL3	3
ADAMTSL4	27
ADAP1	1
ADAR	233
ADARB1	1
ADAT1	1
ADAT3	2
ADCK1	1
ADCK5	1
ADCY1	1
ADCY10	12
ADCY2	4
ADCY3	9
ADCY5	30
ADCY6	4
ADCY7	2
ADCY8	2
ADCY9	6
ADCYAP1	1
ADCYAP1R1	1
ADD1	4
ADD2	1
ADD3	9
ADGRA3	9
ADGRB1	2
ADGRB2	4
ADGRB3	3
ADGRD1	23
ADGRE1	3
ADGRE2	1
ADGRE3	1
ADGRF1	1
ADGRF2	1
ADGRF4	3
ADGRF5	2
ADGRG1	37
ADGRG2	9
ADGRG4	3
ADGRG5	1
ADGRG6	9
ADGRG7	1
ADGRL1	3
ADGRL2	5
ADGRL3	2
ADGRV1	279
ADH1A	1
ADH1B	7
ADH1C	5
ADH4	3
ADH5	2
ADH7	3
ADIPOQ	25
ADIPOR1	6
ADIPOR2	1
ADK	17
ADM	2
ADNP	96
ADNP2	1
ADORA1	4
ADORA2A	2
ADORA3	5
ADPRH	1
ADPRHL1	1
ADPRHL2	11
ADPRM	1
ADRA1A	6
ADRA1D	1
ADRA2A	4
ADRA2B	7
ADRA2C	3
ADRB1	2
ADRB2	10
ADRB3	4
ADSL	60
ADSS	1
ADSSL1	3
ADTRP	1
AEBP1	9
AEBP2	1
AFAP1	1
AFDN	3
AFF2	29
AFF3	6
AFF4	6
AFG3L2	44
AFM	1
AFP	9
AFTPH	1
AGA	41
AGAP1	4
AGAP2	7
AGAP6	1
AGBL1	4
AGBL2	1
AGBL3	1
AGBL4	13
AGBL5	9
AGER	5
AGFG1	3
AGGF1	2
AGK	34
AGL	258
AGMO	4
AGO1	12
AGO2	2
AGO3	1
AGO4	4
AGPAT2	46
AGPAT5	1
AGPS	10
AGRN	21
AGRP	5
AGT	28
AGTPBP1	4
agtpbp1tv4	13
AGTR1	16
AGTR2	11
AGTRAP	1
AGXT	218
AGXT2	5
AHCTF1	1
AHCY	15
AHCYL2	1
AHDC1	42
AHI1	101
AHNAK	10
AHNAK2	6
AHR	5
AHRR	2
AHSG	7
AHSP	3
AICDA	51
AIF1	1
AIF1L	1
AIFM1	36
AIFM3	1
AIM2	1
AIMP1	9
AIMP2	3
AIP	113
AIPL1	83
AIRE	145
AJM1	1
AK1	14
AK2	20
ak2b	3
AK3	1
AK5	1
AK7	2
AK9	3
ak9tv2	1
AKAP1	1
AKAP10	3
AKAP11	9
AKAP12	4
AKAP13	8
AKAP2	8
AKAP4	2
AKAP5	2
AKAP6	1
AKAP9	47
AKIRIN2	1
AKNA	2
AKNAD1	1
AKR1B1	5
AKR1B15	1
AKR1C2	13
AKR1C3	12
AKR1C4	7
AKR1D1	21
AKR1E2	2
AKR7A2	1
AKR7A3	1
AKT1	12
AKT2	7
AKT3	34
AKTIP	2
ALAD	12
ALAS1	2
ALAS2	104
ALB	96
ALCAM	6
ALDH16A1	2
ALDH18A1	38
ALDH1A1	1
ALDH1A2	7
ALDH1A3	28
ALDH1B1	3
ALDH1L1	3
ALDH1L2	3
ALDH2	2
ALDH3A1	1
ALDH3A2	130
ALDH4A1	5
ALDH5A1	82
ALDH6A1	6
ALDH7A1	131
ALDH9A1	3
ALDOA	8
ALDOB	69
ALG1	47
ALG10	1
ALG10B	3
ALG11	20
ALG12	16
ALG13	15
ALG14	7
ALG2	7
ALG3	23
ALG6	27
ALG8	23
ALG9	4
ALK	16
ALKBH3	2
ALKBH4	1
ALKBH8	2
ALMS1	324
ALOX12	1
ALOX12B	81
ALOX15	10
ALOX15B	1
ALOX5	5
ALOX5AP	3
alox5api2	1
ALOXE3	25
aloxe3tv1	4
ALPG	2
ALPI	6
ALPK1	4
ALPK2	5
ALPK3	8
ALPL	305
ALPP	2
ALS2	83
ALS2CL	1
ALX1	5
ALX3	8
ALX4	28
AMACR	14
AMBN	13
AMBP	1
AMBRA1	4
AMD1	3
AMELX	28
AMELY	2
AMER1	43
AMER2	1
AMFR	1
AMH	98
AMHR2	97
AMMECR1	7
AMN	36
AMOT	2
AMOTL1	3
AMPD1	13
AMPD2	24
AMPD3	11
AMT	97
AMTN	1
AMY1A	1
AMY2B	1
AMZ1	2
AMZ2	1
ANAPC1	4
ANAPC10	2
ANAPC2	1
ANAPC5	3
ANAPC7	1
ANG	42
ANGPT1	5
ANGPT2	5
ANGPTL2	1
ANGPTL3	53
ANGPTL4	24
ANGPTL5	4
ANGPTL6	4
ANGPTL8	2
ANHX	2
ANK1	148
ank1tv10	2
ANK2	131
ANK3	21
ank3tv2	1
ANKDD1B	2
ANKFN1	1
ANKFY1	2
ANKH	22
ANKHD1	2
ANKK1	13
ANKLE1	2
ANKLE2	4
ANKRD1	25
ANKRD11	148
ankrd11tv1	17
ANKRD12	2
ANKRD13A	1
ANKRD13B	1
ANKRD13C	1
ANKRD13D	1
ANKRD16	1
ANKRD17	4
ANKRD18A	1
ANKRD22	1
ANKRD23	1
ANKRD24	1
ANKRD26	24
ANKRD30B	1
ANKRD31	2
ANKRD36	1
ANKRD36B	1
ANKRD36C	1
ANKRD44	1
ANKRD50	3
ANKRD6	8
ANKS1A	3
ANKS1B	13
anks1btv2	1
ANKS3	3
ANKS6	14
ANKZF1	5
ANLN	6
ANO10	29
ANO2	3
ANO3	31
ANO5	170
ANO6	6
ANO7	1
ANO9	2
ANOS1	196
ANP32A	1
ANP32B	1
ANP32D	2
ANPEP	1
ANTXR1	19
ANTXR2	57
ANXA1	3
ANXA11	17
ANXA5	3
ANXA6	1
ANXA7	1
AOAH	1
aoahtv2	1
AOC1	3
AOC2	1
AOC3	1
AOX1	16
AP1B1	1
AP1G1	2
AP1S1	2
AP1S2	15
AP1S3	6
AP2A2	1
AP2B1	1
AP2M1	1
AP2S1	7
AP3B1	38
AP3B2	12
AP3D1	4
AP3S2	1
AP4B1	22
AP4E1	19
AP4M1	18
AP4S1	8
AP5Z1	19
APAF1	21
APBA1	1
APBA2	15
APBB1	2
APBB2	1
APBB3	1
APC	2037
APC2	3
APCDD1	1
APCDD1L	1
APCS	1
APELA	2
APEX1	13
APEX2	1
APH1A	4
APH1B	1
API5	1
APLN	1
APLNR	1
APLP1	1
APOA1	83
APOA2	7
APOA4	10
APOA5	79
APOB	385
APOBEC3B	3
APOBEC3D	2
APOBEC3F	2
APOBEC3G	1
APOBEC3H	5
APOBR	2
APOC1	4
APOC2	25
APOC3	17
APOC4	2
APOD	3
APOE	69
APOH	7
APOL1	9
APOL3	1
APOL4	1
APOL5	1
APOL6	2
APOM	4
APOPT1	6
APP	115
APPL1	4
APPL2	2
APRT	51
APTX	48
AQP1	17
AQP2	70
AQP3	1
AQP4	8
AQP5	10
AQP7	2
AQR	2
AR	648
ARAF	1
ARAP1	5
ARAP3	2
ARC	11
ARCN1	4
AREL1	2
ARF1	3
ARF4	1
ARFGAP3	2
ARFGEF1	13
ARFGEF2	15
ARFGEF3	5
ARFIP1	1
ARFIP2	1
ARG1	74
ARGLU1	5
ARHGAP11A	1
ARHGAP18	1
ARHGAP19	2
ARHGAP20	1
ARHGAP21	5
ARHGAP24	10
ARHGAP25	1
ARHGAP28	1
ARHGAP29	19
ARHGAP30	1
ARHGAP31	7
ARHGAP32	8
ARHGAP33	3
ARHGAP35	2
ARHGAP4	1
ARHGAP40	1
ARHGAP42	2
ARHGAP44	1
ARHGAP45	2
ARHGAP5	5
ARHGAP6	4
ARHGAP8	1
ARHGAP9	1
ARHGDIA	3
ARHGEF1	3
ARHGEF10	24
ARHGEF10L	4
ARHGEF11	5
ARHGEF12	2
ARHGEF15	3
ARHGEF16	1
ARHGEF17	6
ARHGEF18	7
ARHGEF2	2
ARHGEF26	2
ARHGEF28	11
ARHGEF3	3
ARHGEF38	1
ARHGEF39	1
ARHGEF4	6
ARHGEF40	2
ARHGEF5	1
ARHGEF6	5
ARHGEF7	3
ARHGEF9	28
arhgef9tv2	1
ARID1A	40
ARID1B	257
ARID2	20
ARID3A	1
ARID3B	2
ARID3C	1
ARID4A	2
ARID5A	2
ARID5B	5
ARIH1	1
ARL11	5
ARL13B	10
ARL14EP	2
ARL15	5
ARL2	1
ARL2BP	6
ARL3	3
ARL5B	1
ARL6	21
ARL6IP1	5
ARL6IP5	1
ARL6IP6	3
ARL8A	2
ARMC2	5
ARMC3	2
ARMC4	28
ARMC5	58
ARMC8	1
ARMC9	11
ARMS2	3
ARNT2	7
ARNTL	1
ARNTL2	1
ARPC1B	16
ARPC3	1
ARR3	3
ARRB1	1
ARRB2	5
ARRDC4	1
ARSA	275
ARSB	223
arsbtv2	1
ARSE	47
ARSF	1
ARSG	3
ARSH	3
ARSI	2
ARSK	1
ART4	16
ARV1	3
ARVCF	3
ARX	110
AS3MT	9
ASAH1	73
ASAH2	1
ASAP1	1
ASAP2	4
ASAP3	1
ASB1	1
ASB10	26
asb10i3	5
ASB11	1
ASB14	1
ASB17	1
ASB3	1
ASB9	2
ASCC1	5
ascc1tv2	2
ASCC2	3
ASCC3	4
ASCL1	6
ASF1A	1
ASGR1	2
ASH1L	58
ASH2L	1
ASIC1	2
ASIC2	3
ASIC3	1
ASIC4	1
ASIP	1
ASL	172
ASMT	25
ASMTL	1
ASNS	34
ASPA	103
ASPG	1
ASPH	8
ASPM	223
ASPN	4
ASPRV1	4
ASRGL1	2
ASS1	163
ASTE1	2
ASTL	1
ASTN1	6
ASTN2	49
ASXL1	47
ASXL2	6
ASXL3	81
ATAD1	3
ATAD2	1
ATAD2B	1
ATAD3A	18
ATAD3B	2
ATAD3C	1
ATAD5	6
ATCAY	3
ATE1	3
ATF1	5
ATF3	2
ATF4	5
ATF5	1
ATF6	20
ATF7IP	1
ATG10	3
ATG12	4
ATG16L1	2
ATG16L2	1
ATG2B	2
ATG4A	1
ATG4C	1
ATG5	5
ATG7	11
ATG9A	1
ATIC	9
ATL1	90
ATL2	2
ATL3	5
ATM	1722
ATN1	13
ATOH1	1
ATOH7	9
ATOX1	1
ATP10A	8
ATP10B	2
ATP10D	1
ATP11B	2
ATP11C	3
ATP12A	1
ATP13A1	2
ATP13A2	53
ATP13A3	12
ATP13A4	4
ATP13A5	3
ATP1A1	14
atp1a1ic	1
ATP1A2	102
ATP1A3	132
ATP1A4	2
ATP1B1	6
ATP1B4	1
ATP23	1
ATP2A1	21
ATP2A2	293
atp2a2b	17
ATP2A3	8
ATP2B1	1
ATP2B2	11
atp2b2tv1	1
ATP2B3	7
ATP2B4	7
ATP2C1	214
ATP2C2	3
ATP4A	2
ATP5F1A	3
ATP5F1D	2
ATP5F1E	1
ATP5MD	1
ATP5MPL	1
ATP6AP1	5
ATP6AP2	7
ATP6V0A1	3
ATP6V0A2	59
ATP6V0A4	94
ATP6V0B	1
ATP6V0C	1
ATP6V0D1	2
ATP6V0D2	1
ATP6V1A	9
ATP6V1B1	63
ATP6V1B2	5
ATP6V1E1	2
ATP6V1H	2
ATP7A	377
ATP7B	1019
ATP8A1	2
ATP8A2	14
ATP8B1	146
ATP8B2	2
ATP8B3	4
ATP8B4	2
ATP9B	1
ATPAF2	2
ATR	47
ATRIP	2
ATRN	3
ATRNL1	3
ATRX	179
ATXN1	8
ATXN10	4
ATXN1L	1
ATXN2	48
ATXN2L	1
ATXN3	5
ATXN7	7
ATXN8	2
ATXN8OS	5
AUH	12
AUP1	1
AURKA	6
AURKB	4
AURKC	5
AUTS2	68
AVP	87
AVPR1A	5
AVPR1B	2
AVPR2	287
AXIN1	19
AXIN2	32
AXL	9
AZF1	11
AZGP1	1
AZIN1	1
AZIN2	3
B2M	4
B3GALNT1	13
B3GALNT2	19
B3GALT1	1
B3GALT6	41
B3GAT1	1
B3GAT3	13
B3GLCT	15
B3GNT3	1
B4GALNT1	13
B4GALNT2	4
B4GALNT3	1
B4GALNT4	1
B4GALT1	4
B4GALT3	1
B4GALT7	10
B4GAT1	7
B9D1	10
b9d1tv1	1
B9D2	4
BAALC	1
BAAT	7
BABAM1	1
BACE1	2
BACE2	9
BACH1	1
BACH2	2
BAD	1
BAG3	90
BAG6	3
BAHCC1	1
BAHD1	2
BAIAP2	3
BAIAP2L1	1
BAIAP3	1
BAMBI	4
BANF1	1
BANK1	6
BANP	3
BAP1	198
BARD1	206
BARX1	1
BASP1	1
BAX	2
BAZ1A	4
BAZ1B	5
BAZ2B	9
BBIP1	1
BBOX1	2
BBS1	115
BBS10	115
BBS12	64
BBS2	100
BBS4	58
BBS5	33
BBS7	50
BBS9	59
BBX	2
BCAM	30
BCAP31	9
BCAR1	2
BCAS3	2
BCAT1	2
BCAT2	6
BCCIP	3
BCDIN3D	1
BCHE	81
BCKDHA	104
BCKDHB	127
BCKDK	6
BCL10	3
BCL11A	37
BCL11B	14
BCL2	3
BCL2A1	1
BCL2L10	2
BCL2L11	3
BCL2L14	1
BCL2L2	1
BCL6	1
BCL9	9
BCL9L	2
BCLAF1	3
BCO1	5
BCO2	1
BCOR	70
BCORL1	8
BCR	4
BCS1L	41
BDH1	1
BDKRB2	7
BDNF	39
BDP1	1
BEAN1	2
BECN1	1
BEND2	1
BEND3	1
BEST1	339
best1tvx10	1
BEST3	1
best3tv1	1
best3tv4	1
BEX3	1
BFAR	3
BFSP1	7
BFSP2	7
BGLAP	1
BGN	9
BHLHA9	48
BHLHE40	2
BHLHE41	4
BHMT	7
BICC1	5
BICD1	1
BICD2	39
BICRA	1
BICRAL	1
BIN1	20
bin1ms	1
BIRC2	5
BIRC3	1
BIRC5	4
BIRC6	7
BLK	32
BLM	151
BLMH	1
BLNK	6
BLOC1S3	4
BLOC1S6	2
BLVRA	3
BMI1	2
BMP1	25
bmp1-1	3
BMP10	5
BMP15	29
BMP2	41
BMP2K	4
BMP3	2
BMP4	61
BMP5	9
BMP6	9
BMP7	8
BMP8A	1
BMP8B	2
BMPER	23
BMPR1A	152
BMPR1B	36
BMPR2	637
BMS1	2
BMT2	2
BNC1	3
BNC2	18
bnctv2	1
BNIP1	1
BOC	6
BOD1	2
BOLA2	2
BOLA3	8
BPGM	11
BPI	1
BPIFA1	4
BPIFA3	2
BPIFB1	1
BPIFB4	1
BPIFB6	2
BPIFC	3
BPTF	15
BRAF	82
BRAFP1	1
BRAP	2
BRAT1	23
BRCA1	3273
BRCA2	3559
BRCC3	3
BRD1	1
BRD2	1
BRD3	3
BRD4	17
BRD7	1
BRDT	1
BRF1	17
BRF2	1
BRINP2	2
BRIP1	243
BROX	1
BRPF1	22
BRPF3	1
BRSK1	3
BRSK2	10
BRWD1	5
BRWD3	28
BSCL2	51
bscl2i3	1
bscl2tv1	8
BSG	5
bsgtv1	3
BSN	9
BSND	26
BST1	2
BST2	3
BTAF1	2
BTBD11	1
BTBD2	1
BTBD7	1
BTBD8	1
BTBD9	7
btbd9tv4	1
BTC	4
BTD	266
BTG1	1
BTG2	1
BTK	934
btktv3	1
BTLA	1
BTN1A1	2
BTN2A1	1
BTN2A2	1
BTN3A2	1
BTNL2	11
BTNL8	2
BTRC	8
BUB1	20
BUB1B	33
BUB3	6
BUD13	2
BUD23	4
BVES	3
C10orf71	1
C10orf90	3
C11orf24	1
C11orf40	2
C11orf53	1
C11orf65	1
C11orf80	2
C12orf10	3
C12orf4	7
C12orf43	1
C12orf57	8
C12orf65	11
C12orf66	1
C12orf74	1
C14orf28	1
C14orf39	1
C14orf93	3
C15orf32	1
C15orf38-AP3S2	1
C15orf41	7
C15orf62	2
C16orf72	1
C16orf90	1
C16orf96	1
C17orf47	1
C17orf49	1
C17orf53	1
C17orf58	1
C17orf82	1
C17orf97	1
C18orf25	2
C18orf63	1
C19orf12	51
C19orf18	1
C19orf44	1
C19orf48	1
C19orf57	1
C1GALT1	1
C1orf100	1
C1orf105	1
C1orf127	1
C1orf141	1
C1orf167	1
C1orf185	1
C1orf194	2
C1orf68	3
C1QA	9
C1QB	8
C1QBP	7
C1QC	11
C1QTNF12	1
C1QTNF2	1
C1QTNF4	2
C1QTNF5	8
C1R	20
C1S	11
C2	11
C20orf194	1
C20orf197	1
C20orf96	1
C21orf2i4	1
C21orf91	1
C22orf31	1
C2CD3	15
c2cd3tv1	1
C2CD4B	1
C2CD4D	1
C2orf16	3
C2orf40	1
C2orf42	3
C2orf48	1
C2orf70	1
C2orf73	1
C2orf80	1
C3	133
C3AR1	4
C3orf18	1
C3orf20	1
C3orf35	2
C3orf67	1
C4A	9
C4B	9
C4BPA	7
C4BPB	1
C4orf19	1
C4orf36	1
C4orf54	3
C5	23
C5AR2	4
c5orf42a	1
C5orf66	1
C6	14
C6orf106	1
C6orf132	3
C6orf15	2
C6orf222	1
C6orf223	1
C7	34
C7orf31	1
C8A	8
C8B	13
C8orf37	17
C9	11
C9orf57	1
C9orf72	26
CA1	2
CA10	1
CA12	4
CA13	1
CA2	31
CA3	1
CA4	11
CA5A	7
CA5B	1
CA6	1
CA8	5
CABIN1	6
CABLES1	4
CABP1	1
CABP2	6
CABP4	14
CABP7	1
CACHD1	1
CACNA1A	262
cacna1ai4	5
cacna1atv1	5
CACNA1B	8
CACNA1C	82
cacna1ct10	1
cacna1ct11	2
cacna1ct23	4
CACNA1D	15
cacna1dtv3	3
CACNA1E	28
CACNA1F	259
CACNA1G	14
cacna1gtv5	1
CACNA1H	72
CACNA1I	4
CACNA1S	66
CACNA2D1	18
CACNA2D2	10
CACNA2D3	9
CACNA2D4	9
CACNB1	1
CACNB2	24
cacnb2i1	1
cacnb2i2	5
cacnb2i4	4
cacnb2i5	2
CACNB3	2
CACNB4	7
CACNG1	1
CACNG2	2
CACNG3	1
CACNG4	1
CACNG7	1
CACUL1	1
CAD	12
CADM1	4
CADM2	1
CADPS	6
CADPS2	3
CALCA	2
CALCB	1
CALCOCO2	1
CALCR	2
CALCRL	2
calcrtv1	1
CALHM1	3
CALHM3	1
CALM1	13
CALM2	11
CALM3	5
CALML4	1
CALN1	2
CALR	5
CALR3	5
CAMK1D	1
CAMK2A	17
CAMK2B	12
CAMK2D	1
CAMK2G	2
CAMK4	6
CAMKK1	1
CAMKK2	2
CAMLG	1
CAMP	1
CAMSAP1	2
CAMSAP2	2
CAMSAP3	2
CAMTA1	14
CAMTA2	4
CAND1	1
CANT1	28
CANX	2
CAP2	3
CAPG	2
CAPN1	30
CAPN10	8
CAPN11	1
CAPN12	5
CAPN13	1
CAPN14	1
CAPN15	1
CAPN2	1
CAPN3	515
CAPN5	12
CAPN9	3
CAPRIN1	2
CAPRIN2	2
CAPS	5
CAPS2	1
CAPZA1	2
CAPZB	2
CARD10	6
CARD11	33
CARD14	51
CARD6	3
CARD8	2
CARD9	36
CARM1	1
CARMIL1	2
CARMIL2	14
CARNMT1	1
CARNS1	1
CARS	7
CARS2	6
CARTPT	2
CASC1	1
CASC16	1
CASC4	1
CASK	131
CASKIN2	2
casktv3	1
CASP1	11
CASP10	9
CASP12	1
CASP14	1
CASP2	1
CASP3	8
CASP4	1
CASP5	1
CASP7	2
casp7ie	1
CASP8	13
CASP8AP2	2
casp8tvg	1
CASP9	12
CASQ1	7
CASQ2	37
CASR	426
CAST	20
CASZ1	7
CAT	20
CATSPER1	4
CATSPER2	8
CATSPER3	1
CATSPER4	3
CATSPERE	1
CATSPERG	1
CAV1	15
CAV3	51
CAVIN1	15
CAVIN4	8
CBFA2T2	1
CBFA2T3	1
CBFB	2
CBL	48
CBLB	7
CBLC	1
CBLIF	22
CBLL1	2
CBR1	4
CBR3	5
CBR4	1
CBS	216
CBX2	6
CBX4	1
CBX5	2
CBX8	2
CC2D1A	8
CC2D2A	100
cc2d2atv2	1
CC2D2B	1
CCAR1	2
CCAR2	4
CCAT2	1
CCBE1	15
CCDC103	6
CCDC105	1
CCDC110	1
CCDC114	10
CCDC115	5
CCDC116	2
CCDC120	1
CCDC126	1
CCDC136	1
CCDC137	1
CCDC14	1
CCDC141	2
CCDC148	2
CCDC149	1
CCDC151	4
CCDC158	1
CCDC159	1
CCDC160	1
CCDC170	5
CCDC171	1
CCDC174	1
CCDC18	7
CCDC180	2
CCDC183	1
CCDC186	1
CCDC198	1
CCDC22	8
CCDC27	1
CCDC28B	2
CCDC30	6
CCDC33	1
CCDC39	51
CCDC40	53
CCDC47	5
CCDC50	4
CCDC57	2
CCDC6	1
CCDC65	3
CCDC66	2
CCDC7	1
CCDC78	5
CCDC8	3
CCDC81	1
CCDC82	3
CCDC84	2
CCDC85C	2
CCDC87	1
CCDC88A	4
CCDC88C	14
CCDC89	1
CCDC9	1
CCDC90B	1
CCDC91	1
CCDC92	2
CCER2	4
CCHCR1	8
CCK	2
CCKAR	6
CCKBR	5
CCL11	3
CCL13	1
CCL17	1
CCL2	3
CCL22	1
CCL26	2
CCL3L1	1
CCL4L2	2
CCL5	4
CCL7	1
CCM2	96
CCN1	1
CCN2	4
CCN3	1
CCN6	73
CCNA2	1
CCNB1	4
CCNB1IP1	1
CCNB3	2
CCND1	7
CCND2	11
CCND3	3
CCNE1	2
CCNF	23
CCNH	2
CCNJ	1
CCNJL	1
CCNK	4
CCNL1	1
CCNO	10
CCNQ	11
CCNT2	2
CCP110	1
CCPG1	1
CCR1	1
CCR2	2
ccr2ib	1
CCR3	3
CCR4	1
CCR5	28
CCR6	1
CCR7	2
CCRL2	1
CCS	5
CCSER1	1
CCT2	4
CCT4	2
CCT5	1
CCT6B	2
cct6btv1	1
CCT7	3
CCT8L2	1
CD101	5
CD109	2
CD14	4
CD151	7
CD163	2
CD163L1	5
CD164	1
CD177	6
CD19	10
CD1A	5
CD1C	1
CD1D	2
CD1E	2
CD2	1
CD207	4
CD209	6
CD22	2
CD226	3
CD24	2
CD244	3
CD247	6
CD248	1
CD27	8
CD274	5
CD276	1
CD2AP	20
CD300LF	3
CD300LG	1
CD320	3
CD33	10
CD36	46
CD38	3
CD3D	7
CD3E	8
CD3EAP	4
CD3G	4
CD4	1
CD40	15
CD40LG	248
CD44	7
CD46	89
CD5	4
CD53	2
CD55	26
CD58	4
CD59	8
CD6	1
CD70	4
CD72	2
CD79A	8
CD79B	3
CD80	2
